train_regime,test_regime,variant,event,rmse,mae,n
2017,2013,control,non_event,82.6131735791318,66.92756839567843,6725
2017,2013,treatment,hss_event,81.89793180425137,64.09623664276408,1922
2017,2013,treatment,non_event,83.82189690934003,68.90438562783167,6725
2017,2014,control,hss_event,85.74572872829462,58.508814181921615,2120
2017,2014,control,non_event,72.91395322773984,58.998697552049016,6640
2017,2014,treatment,hss_event,82.81209183446866,56.33235264904094,2120
2017,2014,treatment,non_event,76.15170066789224,62.950963183483445,6640
2017,2015,control,hss_event,100.11533338784938,78.3886570982424,1836
2017,2015,control,non_event,82.53497571890438,66.0348590341763,6924
2017,2015,treatment,hss_event,101.4197107132239,79.1440373505902,1836
2017,2015,treatment,non_event,84.36529245596705,67.79956370264998,6924
2017,2016,control,hss_event,84.23488056739961,67.67892377226995,3252
2017,2016,control,non_event,73.79857140986022,57.39607267998753,5377
2017,2016,treatment,hss_event,82.81218680052756,64.6810929977586,3252
2017,2016,treatment,non_event,75.94245472943113,60.60482669466376,5377
2017,2018,control,hss_event,76.69831816993994,61.89010417355057,3251
2017,2018,control,non_event,67.15445897266811,52.19957672911301,5509
2017,2018,treatment,hss_event,73.64946694847775,59.910194342996625,3251
2017,2018,treatment,non_event,68.27028341878287,52.59691417816655,5509
2017,2019,control,hss_event,68.22056785890027,53.700759398003754,3116
2017,2019,control,non_event,45.24052694600382,35.56565291352681,5644
2017,2019,treatment,hss_event,66.85463638826343,52.6042898763282,3116
2017,2019,treatment,non_event,46.12407462556836,36.617435750008305,5644
2017,2020,control,hss_event,70.43868387477738,56.386447227025045,2998
2017,2020,control,non_event,109.29064074065698,103.35577854086608,5786
2017,2020,treatment,hss_event,69.46189996135497,55.24152749375234,2998
2017,2020,treatment,non_event,107.64710423287613,101.5249373129071,5786
2018,2010,control,hss_event,103.66975166776133,83.36522474691901,1775
2018,2010,control,non_event,55.79728137428458,42.17851642766406,3361
2018,2010,treatment,hss_event,105.63202667877113,84.17893991389745,1775
2018,2010,treatment,non_event,56.30407285012742,42.51251620219173,3361
2018,2011,control,hss_event,98.08997297162972,77.57509444649928,1835
2018,2011,control,non_event,76.32333271103994,57.560473932479695,6925
2018,2011,treatment,hss_event,97.81062363315478,76.95180502743422,1835
2018,2011,treatment,non_event,77.2414604970483,57.88269572233896,6925
2018,2012,control,hss_event,86.10908335269691,68.26434816632953,1568
2018,2012,control,non_event,78.33429741428989,57.72988652231424,7216
2018,2012,treatment,hss_event,85.90619751807907,67.21943960384446,1568
2018,2012,treatment,non_event,79.14715513212944,59.094200760192194,7216
2018,2013,control,hss_event,84.56021114427327,68.73631677220689,1922
2018,2013,control,non_event,77.3086304701623,59.89303480864457,6725
2018,2013,treatment,hss_event,86.04384572699682,69.47870036590608,1922
2018,2013,treatment,non_event,77.56298892593239,60.02713819085444,6725
2018,2014,control,hss_event,88.43550520758768,60.803403487295476,2120
2018,2014,control,non_event,72.75727973879987,58.014838110682476,6640
2018,2014,treatment,hss_event,87.97309933920938,60.48023219558428,2120
2018,2014,treatment,non_event,72.33702825563078,57.56494490841785,6640
